,osmid,type,object,name,lat,lon,geometry,city,addr:street,addr:housenumber,start_date,opening_hours,phone,contact:website,building:levels,wikipedia,contact:phone,contact:email,website,description,contact:vk,contact:facebook,contact:instagram,contact:twitter,contact:youtube,email
0,112549000,cafe,amenity,Креветка,55.6517026,37.5271538,POINT (37.5271538 55.6517026),Москва,,,,,,,,,,,,,,,,,,
1,255742571,cafe,amenity,Чайхана Ош,55.7052212,37.6888836,POINT (37.6888836 55.7052212),Москва,,,,24/7,,,,,,,,,,,,,,
2,277085827,cafe,amenity,Шоколадница,55.7897054,37.6787149,POINT (37.6787149 55.7897054),Москва,,,,Mo-Su 08:00-23:00,+7 910 4953756,http://shoko.ru,,,,,,,,https://www.facebook.com/shoko.ru,,,,
3,302501273,cafe,amenity,Шоколадница,55.7682803,37.6446178,POINT (37.6446178 55.7682803),Москва,,,,Mo-Fr 07:30-22:00; Sa-Su 10:00-20:00,+7 985 3103601,,,,,,https://shoko.ru/,,,,,,,
4,429610873,cafe,amenity,Старый дуб,55.6976881,37.7857738,POINT (37.7857738 55.6976881),Москва,,,,,,https://5ka.ru,,,,,,,,https://www.facebook.com/pyaterochka,,,,
5,431245873,cafe,amenity,Шоколадница,55.6866726,37.5729914,POINT (37.5729914 55.6866726),Москва,улица Дмитрия Ульянова,24,,24/7,+7 915 4739201,http://shoko.ru,,,,,,,https://vk.com/shokoru,https://www.facebook.com/shoko.ru,https://www.instagram.com/shoko.ru,https://twitter.com/wwwShokoRu,,
6,444765729,cafe,amenity,Шоколадница,55.738555,37.6530369,POINT (37.6530369 55.738555),Москва,,,,Mo-Fr 07:00-23:00; Sa-Su 09:00-23:00,+7 985 3162275,,,,,,https://shoko.ru/,,,,,,,
7,447355505,cafe,amenity,Подъезд,55.6567323,37.5973739,POINT (37.5973739 55.6567323),Москва,,,,,,,,,,,,,,,,,,
8,456013679,cafe,amenity,Шарманка,55.7404892,37.8593626,POINT (37.8593626 55.7404892),Москва,,,,,,,,,,,,,,,,,,
9,460433746,cafe,amenity,Сахара,55.580458,37.5767712,POINT (37.5767712 55.580458),Москва,,,,,,,,,,,,,,,,,,
