,osmid,type,object,name,lat,lon,geometry,city,historic,addr:street,addr:housenumber,start_date,opening_hours,phone,contact:website,building:levels,wikipedia,contact:phone,ref:temples.ru,contact:email,website,description,contact:vk,service_times,contact:facebook,contact:instagram,contact:twitter,contact:youtube,email
0,766464835,church,building,Часовня Макария Желтоводского,55.9064869,37.5974471,POINT (37.5974471 55.9064869),Москва,,,,,,,,,,,,,,,,,,,,,
1,2933250101,church,building,Церковь Иконы Божией Матери Отрада или Утешение на Каховке,55.6534959,37.5966443,POINT (37.5966443 55.6534959),Москва,,,,,,,,,,,,,,,,,,,,,
2,26233885,church,building,Храм Покрова Пресвятой Богородицы,55.86525258349209,37.63807393123595,"POLYGON ((37.6378579 55.8652689, 37.6379787 55.8651426, 37.6382899 55.8652362, 37.6381692 55.8653626, 37.6378579 55.8652689))",Москва,,Заповедная улица,52А,,,,,,,,,,,,,,,,,,
3,27761504,church,building,Храм Иконы Божией Матери Утоли Моя Печали,55.64827985306495,37.74750476622497,"POLYGON ((37.7472371 55.6483297, 37.7473329 55.6483405, 37.7473165 55.6483861, 37.7473913 55.648394, 37.7474103 55.6484169, 37.7474494 55.6484291, 37.7475015 55.6484237, 37.7475255 55.6484099, 37.7476107 55.64842, 37.7476238 55.6483834, 37.7476899 55.648391, 37.7477071 55.6483397, 37.7477376 55.6483318, 37.7477616 55.6483106, 37.7477581 55.648286, 37.7477305 55.6482679, 37.7477502 55.6482235, 37.7476859 55.6482161, 37.7477013 55.6481734, 37.7476239 55.6481643, 37.7476094 55.6481428, 37.7475699 55.6481279, 37.7475167 55.6481315, 37.7474872 55.6481483, 37.7474122 55.6481403, 37.7473934 55.6481924, 37.7472907 55.6481806, 37.7472653 55.6482512, 37.7472371 55.6483297))",Москва,,Марьинский бульвар,2 с1,,,,,,,,7068,,,,,,,,,,
4,27792896,church,building,Церковь Рождества Христова,55.860694637966105,37.36764241879586,"POLYGON ((37.3676993 55.8607886, 37.3674452 55.8607913, 37.3674413 55.8607337, 37.3673546 55.8607348, 37.3673534 55.860705, 37.3673522 55.8606752, 37.3674389 55.8606741, 37.3674363 55.8606087, 37.3677087 55.860606, 37.3677111 55.8606364, 37.3679009 55.8606339, 37.3679488 55.8606497, 37.3679665 55.860678, 37.3679614 55.8606991, 37.3679388 55.860721, 37.367894 55.8607396, 37.3676968 55.8607423, 37.3676993 55.8607886))",Москва,,1-я Муравская улица,39 с1,,,,http://hrammitino.ru,,,,6344,,,,,,,,,,
5,28067951,church,building,Храм святителя Николая Мирликийского,55.85595034501414,37.590419624746765,"POLYGON ((37.5902888 55.8558744, 37.590293 55.8560285, 37.5905504 55.8560263, 37.5905463 55.8558722, 37.5902888 55.8558744))",Москва,,улица Хачатуряна,6 к2,,,,,,,,,,,,,,,,,,
6,28318281,church,building,"Храм святителя Иннокентия, митрополита Московского в Бескудникове",55.857304160269464,37.561401626292046,"POLYGON ((37.5612612 55.8573853, 37.5612628 55.8573586, 37.5612439 55.8573577, 37.5612158 55.8573521, 37.5611961 55.8573441, 37.5611764 55.8573289, 37.5611707 55.8573206, 37.5611669 55.8573053, 37.5611711 55.8572905, 37.5611821 55.8572772, 37.561194 55.8572688, 37.5612114 55.857261, 37.5612365 55.8572549, 37.5612694 55.8572533, 37.5612716 55.8572152, 37.5615555 55.8572207, 37.561553 55.8572609, 37.5615788 55.857265, 37.5615998 55.8572724, 37.5616196 55.8572854, 37.5616308 55.8573031, 37.5616309 55.8573185, 37.5616226 55.8573332, 37.561608 55.8573451, 37.5615927 55.8573525, 37.5615822 55.857356, 37.5615676 55.8573592, 37.5615469 55.8573612, 37.561545 55.8573908, 37.5612612 55.8573853))",Москва,,Дмитровское шоссе,вл66,,,,,3,,,,,,,,,,,,,
7,28950864,church,building,Российский Союз Евангельских Христиан-баптистов - Церковь Благая Весть,55.82345896432138,37.51524139302654,"POLYGON ((37.5149977 55.8234264, 37.5151015 55.8234529, 37.5150757 55.8234851, 37.5151659 55.8235082, 37.5151917 55.8234759, 37.5152074 55.8234799, 37.5151831 55.8235099, 37.515288 55.8235367, 37.5153123 55.8235067, 37.5154516 55.8235426, 37.5155048 55.823477, 37.5150508 55.8233608, 37.5149977 55.8234264))",Москва,,улица Клары Цеткин,25 к2 с4,,,,,2,,,,,,,,,,,,,
8,32045644,church,building,Храм Большое Вознесение у Никитских ворот,55.75772156640137,37.59550016327992,"POLYGON ((37.5958508 55.7576171, 37.5958384 55.7575443, 37.5957406 55.7575496, 37.5957373 55.7575301, 37.595513 55.7575422, 37.5955164 55.7575617, 37.5954343 55.7575661, 37.5954398 55.7575987, 37.5951204 55.7576159, 37.595135 55.7577016, 37.5950653 55.7577054, 37.595063 55.7576918, 37.5948863 55.7577013, 37.5949058 55.7578158, 37.5950841 55.7578062, 37.5950821 55.7577943, 37.5951158 55.7577925, 37.5951507 55.7577906, 37.595164 55.7578683, 37.5954819 55.7578511, 37.5954865 55.7578786, 37.5955695 55.7578742, 37.5955732 55.757896, 37.5957975 55.7578839, 37.5957938 55.7578621, 37.5958916 55.7578568, 37.5958769 55.7577703, 37.5959003 55.7577678, 37.5959226 55.7577632, 37.5959432 55.7577564, 37.5959613 55.7577476, 37.5959765 55.7577373, 37.5959882 55.7577256, 37.5959962 55.757713, 37.5960001 55.7576998, 37.5959999 55.7576864, 37.5959956 55.7576732, 37.5959873 55.7576606, 37.5959752 55.7576491, 37.5959597 55.7576389, 37.5959413 55.7576303, 37.5959206 55.7576237, 37.5958981 55.7576192, 37.5958746 55.757617, 37.5958508 55.7576171))",Москва,,Большая Никитская улица,36,,,,http://bolshoevoznesenie.ru,3,ru:Большое Вознесение,,,,,,,,,,,,
9,37130954,church,building,Церковь преподобного Пимена,55.77842555607014,37.60446672444128,"POLYGON ((37.6046936 55.7785439, 37.6047044 55.778544, 37.6047208 55.7785426, 37.6047365 55.7785396, 37.604751 55.7785351, 37.604764 55.7785293, 37.6047749 55.7785222, 37.6047835 55.7785143, 37.6047895 55.7785056, 37.6047927 55.7784964, 37.6047931 55.7784871, 37.6047905 55.7784779, 37.6047852 55.778469, 37.6047772 55.7784608, 37.6047692 55.7784553, 37.6047752 55.7784548, 37.6047875 55.7784524, 37.6047988 55.7784489, 37.6048089 55.7784443, 37.6048174 55.7784389, 37.6048241 55.7784326, 37.6048288 55.7784258, 37.6048313 55.7784187, 37.6048316 55.7784114, 37.6048296 55.7784042, 37.6048255 55.7783973, 37.6048192 55.7783909, 37.6048111 55.7783853, 37.6048014 55.7783805, 37.6047903 55.7783767, 37.6043024 55.7782417, 37.604254 55.7782969, 37.6041998 55.7782819, 37.6041705 55.7783154, 37.604166 55.7783147, 37.6041605 55.7783143, 37.6041549 55.7783145, 37.6041495 55.7783152, 37.6041445 55.7783165, 37.6041398 55.7783182, 37.6041358 55.7783204, 37.6041325 55.7783229, 37.60413 55.7783257, 37.6041284 55.7783287, 37.6041278 55.7783318, 37.6041281 55.7783349, 37.6041294 55.7783379, 37.6041316 55.7783408, 37.6041347 55.7783434, 37.6041385 55.7783456, 37.6041426 55.7783473, 37.6041131 55.778381, 37.6041681 55.7783962, 37.6041075 55.7784654, 37.6045947 55.7786002, 37.6046068 55.7786028, 37.6046195 55.7786043, 37.6046324 55.7786044, 37.6046452 55.7786033, 37.6046575 55.7786009, 37.6046688 55.7785974, 37.6046789 55.7785929, 37.6046875 55.7785874, 37.6046942 55.7785812, 37.6046989 55.7785744, 37.6047014 55.7785672, 37.6047016 55.7785599, 37.6046997 55.7785528, 37.6046955 55.7785459, 37.6046936 55.7785439))",Москва,,Нововоротниковский переулок,3 с1,,,,,,,,,,,,,,,,,,
